name,latitude,longitude,category,landmark,barangay,city,province
"Jomary ",11.006627017226576,124.60739376023412,food,"Ormoc centro food park","Barangay 23 (Pob.)",Ormoc,LEYTE
"Hangry Boss ",15.931737869432624,120.32913593575358,food,"Green Gate, Going to Palaming Road",Mamarlao,"San Carlos City",Pangasinan
"Paulana Milktea House",15.894134024067004,120.65393468365073,food,,Bakitbakit,Rosales,Pangasinan
"JR Inasal House Cabagan Branch",17.42650761696499,121.76554838195443,food,"Beside Municipal Hall and Cabagan Square Park","Centro (Pob.)",Cabagan,Isabela
"Divina's Chicken ",6.925597934399393,122.08712948486209,food,"Callejon Drive",Guiwan,"ZAMBOANGA CITY","ZAMBOANGA DEL SUR"
"Okibebeque Cafe - Bistro",17.11828924070812,121.61609066650271,food,"Strawberry Farm - Swamp near Ayatori",Betag,"La Trinidad",Benguet
"Emily's Grill & Bites",6.375127089280642,124.748957734555,food,"Emily's Pension House","Libertad (Pob.)",Surallah,"South Cotabato"
"CHICKEN SCKYE",7.3076394238677,125.68629054352641,food,"IN FRONT  OF DEN'S CAFE","Santo Niño (Pob.)",Panabo,"Davao del Norte"
"Minute Burger Surallah",6.372302520778728,124.74874651059508,food,"Tomas Claudio St., Surallah Public Market","Libertad (Pob.)",Surallah,"South Cotabato"
"KAENTO KAFE",7.31381554882247,125.68600120022893,food,"CROSING BANGOY ","San Francisco (Pob.)",Panabo,"Davao del Norte"
"Mervic's Lechon",7.312546878616279,125.68611050024629,food,"Rivera Hospital","Santo Niño (Pob.)",Panabo,"Davao del Norte"
"Azadriel Biryani",17.1189688563165,121.61637229844928,food,"Cagangohan Sea Breeze Resort",Cagangohan,Panabo,"Davao del Norte"
SHAKA,7.280348637775271,125.6871428154409,food,,"Datu Abdul Dadia",Panabo,"Davao del Norte"
"Bo's Coffee",15.922607352563869,120.34462032839656,food,"S&R building",Padilla-Gomez,"San Carlos City",Pangasinan
"Kafe G'rahe",17.118784614684742,121.61613391712308,food,"Behind Edz Cyber Cafe (Orange Building), before Apong Domengs Eatery","Barangay Poblacion 7",Midsayap,Cotabato
"The Cake Factory",9.0643461113734,123.03605178371072,food,"Beside Dr EM Dental","Poblacion II",Siaton,"NEGROS ORIENTAL"
"QC Lechon House",9.063195973180507,123.03648361565362,food,"Beside Emmalou Motorshop beside Natasia","Poblacion II",Siaton,"NEGROS ORIENTAL"
"Pattys Tapsihan (MNE Food Services)",14.194871940087909,120.87745120748878,food,"Balagtas St.","Barangay 1 (Pob.)",Indang,Cavite
"NOKNOK FRIED CHICKEN",8.245431825138281,123.00854070112109,food,"Near crossing to SINDANGAN  NATIONAL HIGH SCHOOL",Dapaon,Sindangan,"Zamboanga del Norte"
"Drew's Brew & Bake Cafe",14.195810976182443,120.87786024436355,food,"(Right side of) Monte Carlo Optical (Left side of) General Merchandise ","Barangay 1 (Pob.)",Indang,Cavite
"Ann Seller",8.361516839964331,126.0186156598166,"non food","Purok padigusan , roniel jullian nga balay naa sa ubos","Santa Cruz",Rosario,"Agusan del Sur"
"The Hungry Crust",11.009011,124.607974,food,"Infront of RCBC","Barangay 23 (Pob.)",Ormoc,LEYTE
"Cool Cups",17.1187842932201,121.61613358184695,food,"UM PANABO","San Francisco (Pob.)",Panabo,"Davao del Norte"
"JOJ  ICE SCRAMBLE",7.280268985185396,125.68691885098815,food,"SEA BREEZ RESORT",Cagangohan,Panabo,"Davao del Norte"
"El Puesto",14.194664891113913,120.87785152718425,food,"Western Union","Barangay 1 (Pob.)",Indang,Cavite
"Budget Boutique Kalinga ",17.11878461364921,121.61613391712308,"non food","Namnama Elementary School ",Bulanao,Tabuk,Kalinga
"Yummy-Yes Takoyaki Polomolok",6.223065932253714,125.05863888189197,food,"Anastacio Subdivision, from Collado Highway straight ahead you will find Nono Store/water refilling station, left house",Poblacion,Polomolok,"South Cotabato"
WONDERMAMSH,7.3161733133267886,125.68314330652356,food,"DONALVO RESIDENCE ","San Francisco (Pob.)",Panabo,"Davao del Norte"
PULIPAP'S,7.280099874537836,125.68728664889932,food,"SEA BREEZ CAGANGUHAN resort","San Francisco (Pob.)",Panabo,"Davao del Norte"
Chowline,11.998070812078655,120.20436158403754,food,BAMBAR,"Barangay II (Pob.)",Coron,Palawan
Fres-KO,14.792681928646388,120.94030709937215,food,"Plaza Centralle",Igulot,Bocaue,Bulacan
"Buko Bee",11.892044173490849,120.01887174323201,food,"Beside Briton Lodge",Libis,CULION,Palawan
"Crafting Shop",11.11112702299782,125.0169318728149,"non food","San Roque Bodega","San Roque (Pob.)",Tanauan,LEYTE
"Estong Manok & Liempo",11.041930656007793,124.54846495762469,food,"Cogon BOSS","Cogon Combado",Ormoc,LEYTE
"Hunters Coffee",7.299465532243556,125.68247208371758,food,"Food centrum","New Pandan (Pob.)",Panabo,"Davao del Norte"
"MissB Milktea",11.109679540145395,125.01965330913661,food,"In front of MLHUILLIER","San Roque (Pob.)",Tanauan,LEYTE
"Daks Azzip",15.757745180388602,119.91085113957524,food,"Beside Roasted Chicken and Sabon Depot",Lipay,"Santa Cruz",Zambales
"Blacktea By Dion",14.16122203052194,120.85985189303756,food,"besides roguel enterprises","Lumampong Halayhay",Indang,Cavite
"Sakol Tayo'",14.194923943841118,120.87842719629407,food,,"Barangay 1 (Pob.)",Indang,Cavite
"Shu Tayyeb Indian And Arabic Cuisine",6.889721180313776,125.4288792796433,food,"Purok Sampguita",Coronon,"Santa Cruz","Davao del Sur"
"Pio De Roda Cafe",14.196610569065491,120.8761670999229,food,"near bangko mabuhay","Barangay 3 (Pob.)",Indang,Cavite
"Eliana's Halo-Halo",8.368296697156696,124.81205619999999,food,"Menzi Village, Subdivision",Damilag,"Manolo Fortich",Bukidnon
"Bestea Cafe",14.195199255084951,120.87786560878158,food,"Inside kubo ni nanay puring lomihan","Barangay 1 (Pob.)",Indang,Cavite
"Treasure Sisig House",6.897196572447246,126.01360773631193,food,"CANTILAN BANK",Poblacion,Lupon,"Davao Oriental"
"Cake Boss San Carlos By Chef Allan",15.921332529024843,120.34190660342574,food,"Near VMUF","San Pedro-Taloy","San Carlos City",Pangasinan
"Cafe GiFinn",18.56003145535295,121.23458465561271,food,"Stall#6, Municipal Gym","Centro I (Pob.)","Sanchez Mira",CAGAYAN
"Healthy Choice Cafe",15.921191955148455,120.34228244796395,food,"Twin Sister's Ladies Dormitory Building","San Pedro-Taloy","San Carlos City",Pangasinan
"Super Daddy Surallah",6.376936044369712,124.74833948537707,food,"Jasmin St., Beside Surallah Gym","Libertad (Pob.)",Surallah,"South Cotabato"
"Cravingz Liloy",8.118899047327602,122.66605848446488,food,"Close to julies bakeshop fatima branch",Fatima,Liloy,"Zamboanga del Norte"
"Aliments Makkhan Restaurant",7.199216768664918,124.24297979101539,food,"8Z Building","Rosary Heights VII","Cotabato City",Cotabato
"The Crunch Sta. Cruz Zambales",15.762144012536549,119.91133796051145,food,"Near at Mangkok Restuarant and Goldilocks ","Poblacion South","Santa Cruz",Zambales
"J&J Barbecue ",8.121085370325918,122.67613453790545,food,UNC,"Baybay (Pob.)",Liloy,"Zamboanga del Norte"
"Café Calle",17.118784614914794,121.61613391712308,food,,"Poblacion District III",Babatngon,LEYTE
"Frappéy Cafe Rosales Central",15.892525613522512,120.63223393633962,food,"Infront of Roman Catholic Church","Zone II (Pob.)",Rosales,Pangasinan
"Ooey Gooey Corner St. Cheesecake",14.793175631805344,120.9394216351211,food,"Sants Building Plaza Centralle",Igulot,Bocaue,Bulacan
"AJs Café ",11.421275232197932,124.84340200200677,food,,"Poblacion District I",Babatngon,LEYTE
"JR Inasal House",16.364277160102276,121.09727935865521,food,"Near NVAT","Almaguer North",Bambang,"Nueva Vizcaya"
"The Messy Baker",8.237303052561936,122.99731967970729,food,"Kan-anan sa Baybay",Poblacion,Sindangan,"Zamboanga del Norte"
"Cripsy King",10.975576933402362,124.89443169906735,food,"Old Rural Bank of Burauen","Poblacion District VIII",Burauen,LEYTE
"H&R Barbeque Grill",17.118784294292304,121.61613358184695,food,"Ormoc Centro","Barangay 6 (Pob.)",Ormoc,LEYTE
"DON OLWAP CAFE",11.007070656248542,124.60751982405782,food,Centro,"Barangay 12 (Pob.)",Ormoc,LEYTE
"Mr Froost",11.423782064041296,124.84690999612212,food,"Near Tings Dough Bakeshop (Pan de Pane)","Poblacion District IV",Babatngon,LEYTE
"3stan's Bulaluhan",16.724969188433032,120.35087557509542,food,"Front of Bacnotan District Hospital",Poblacion,Bacnotan,"LA UNION"
"Barneys Burger",14.97370954058612,120.53002903237939,food,"Barneys Burger",Solib,Floridablanca,Pampanga
"Espen Cafe",6.369677527544235,124.7477507404983,food,"Thomas Pin-pin beside Tiya Panie","Libertad (Pob.)",Surallah,"South Cotabato"
"Cheesybites By M&J",7.778740313927157,122.5880635343492,food,"Near DAMMC (Lyceum)",Poblacion,Ipil,"Zamboanga Sibugay"
"Ate Jezel House Of Samgy",14.949261120249194,120.91201884672046,food,"Notre christy academy","San Pedro",Bustos,Bulacan
"Big Eats Barbecue",16.400956479977253,121.11107898876071,food,,Macate,Bambang,"Nueva Vizcaya"
"BEELOT FOOD AND BEVERAGE HUB",14.18129431950765,120.88932735845445,food,"Shell Buna cerca","Buna Cerca",Indang,Cavite
"Boy Negro Chicharon",11.00670699107991,124.60747322067618,food,"Centro Ormoc","Barangay 6 (Pob.)",Ormoc,LEYTE
"Krak-en Roll",14.792923758084314,120.93995405361056,food,"Philippine Arena bypass road",Igulot,Bocaue,Bulacan
"Better Brews",8.241794836367772,122.99897460266948,food,"Albacity building",Bantayan,Sindangan,"Zamboanga del Norte"
"Snacks Unlmtd",7.205192812999227,124.23752652481198,food,"Barangay Hall","Rosary Heights X","Cotabato City",Cotabato
"Arlene’s Cafe",8.119416172198626,122.66673440113664,food,"Fatima Commercial Building",Fatima,Liloy,"Zamboanga del Norte"
Burgerbucks,6.722719601681327,124.51981728896499,food,"Tindalo St. Exit Road Beside Municipal Hall",Poblacion,Esperanza,"Sultan Kudarat"
"48 Coffee And Yu Chin Leganes",10.785921933173256,122.58863283321261,food,"beside Uling Roaster and Chooks to go. Infront of Leganes Plaza.",Poblacion,Leganes,Iloilo
"ATE JEZEL SAMGYUPSAL HOUSE",14.953513266622103,120.89758014203619,food,"Baliwag university ",Concepcion,Baliwag,Bulacan
"Jose Macchiatos",8.239066656243033,123.00052827224135,food,"Near Saint Joseph College, Front of Llorente Compound ",Poblacion,Sindangan,"Zamboanga del Norte"
"Angel's Lemonade Station",17.118784613616107,121.61613391712308,"non food","Sunset boulevard food hub","Miputak (Pob.)","Dipolog City","Zamboanga del Norte"
"South Blend Coffee",7.220816783526392,124.24955676171491,food,"Front of Mags Audio Accessories","Rosary Heights II","Cotabato City",Cotabato
"Jambu Wings",7.199147580647804,124.24296973273158,food,"8z Building","Rosary Heights VII","Cotabato City",Cotabato
"Zenju Café",16.149464446876465,119.99187933281064,food,"Besides Popantay Elementary School",Tanaytay,Alaminos,Pangasinan
"Maxam Snack Bites",8.902539695906732,125.02440819516778,food,"Mahayahay Bridge",Cabug,Medina,"Misamis Oriental"
"Vitamin Tea",14.973408969562115,120.5316380225122,food,"New Public Market",Solib,Floridablanca,Pampanga
"Greasy Spoon ",7.777188979287773,122.58705971762538,food,"Bangkerohan Mosque ",Poblacion,Ipil,"Zamboanga Sibugay"
"Food Garage",8.712333379478093,125.74955077841878,food,"Near Community Hospital",Poblacion,"Bayugan City","Agusan del Sur"
"CRAVE MNL",14.489895231912723,121.02369328960776,food,"Hawaii Circle","Don Bosco",Parañaque,"Metro Manila"
"Quirky Fried Chicken House",8.321914977815954,124.80875691398978,food,"Oneway ","Agusan Canyon","Manolo Fortich",Bukidnon
BatChoiYan,6.8355018853063685,125.41621550859071,food,"Beside Santos Lechon Manok","Zone III (Pob.)","Santa Cruz","Davao del Sur"
"Shawarmahan & Queentea",7.799362549119777,122.61326322332025,food,"Near Pangi Elementary School",Pangi,Ipil,"Zamboanga Sibugay"
"Ladz De Milktea",6.870511060106647,125.4447609744966,food,"Atbang sa Minute burger, Talisay",Coronon,"Santa Cruz","Davao del Sur"
"CupTeavate Studio And Cafe ",15.932612651980364,120.34566620881986,food,"Across magic mall and town center","Rizal (Pob.)","San Carlos City",Pangasinan
"Bamboo Chill",17.118784613611933,121.61613391712308,food,"Centro Food Park","Barangay 17 (Pob.)",Ormoc,LEYTE
"Top Pizza ",17.118784614555935,121.61613391712308,food,"LC Building","Zone III (Pob.)",Rosales,Pangasinan
"Halovers Food & Dessert",8.536334758816524,123.32370093092322,food,"Near Crossing Fisheries",Olingan,"Dipolog City","Zamboanga del Norte"
"Fernando's Meat & Chill",6.3715105343245115,124.74457546666837,food,,"Libertad (Pob.)",Surallah,"South Cotabato"
"Lami-an Restobar / Lami-an Kubo Cafe",9.519705304908495,123.43129137530923,food,"Across Babylon",Poblacion,Oslob,Cebu
"Silogamaw Ni Mcking ",10.435866426349367,124.00927925482392,food,"In between Estaca Bay Resort and Old Santissima Trinidad Chapel White Gate",Estaca,Compostela,Cebu
"The Coffee - Indang",14.2300679,120.8825655,food,"In front of Mataas na Lupa Elementary School","Mataas na Lupa (Checkpoint)",Indang,Cavite
"Vita Bella",18.05347160328291,121.74519242718816,food,"Infront of EMC bus terminal",Nabaccayan,Gattaran,CAGAYAN
"CCS Takoyaki ",7.5717230973273395,124.98884411528707,food,"Kibawe Water District ","West Kibawe (Pob.)",Kibawe,Bukidnon
"Don Macchiatos Kibawe",7.569688263003451,124.98702926561236,food,"Fronting Kibawe Market Stalls Phase 1","West Kibawe (Pob.)",Kibawe,Bukidnon
"Jo San Pizza",16.3886162967242,121.11002186313273,food,"Public MARKET GATE 2 ","Calaocan (Pob.)",Bambang,"Nueva Vizcaya"
"Seoul Coffee Shop",14.98855427527969,120.50970861688256,food,"Planet gas station","San Jose",Floridablanca,Pampanga
"Tealitefull Cafe",7.5760372469912305,124.99219124332348,food,"Near "K" logo",Palma,Kibawe,Bukidnon
"Cafe Bente Uno",17.400805081231745,120.47808269038796,food,"Uni Oil",Naguneg,Narvacan,"Ilocos Sur"
"Raely’s Sweets",11.5678999,124.3942729,food,"Bodega pepsi unahan engkee marketing",Atipolo,Naval,Biliran
"Hungry Nook",17.418147805533074,121.441800724715,food,"Street of baptist school",Bulanao,Tabuk,Kalinga
"Budwezier Sutukil & Food Hub",8.237218439172409,122.99596885219216,food,"Kan Anan sa Bay-Bay",Bantayan,Sindangan,"Zamboanga del Norte"
"Pizza Kho",14.979025184967501,120.78367112204432,food,"Taram purok 6 nearby alfamark",Cansinala,Apalit,Pampanga
"Papu's Corner ",14.706623741697236,121.05304973199964,food,"Infront of nitz lugawan ","Santa Lucia","Quezon City","Metro Manila"
"Lan-z-lotte's Goodies",14.728909890931945,121.15037837997079,food,"Nearby coco mountain resort","San Rafael",Rodriguez,Rizal
"Dà Cup",8.119367380607311,122.66607692465186,food,"Beside Rhodney Barber Shop",Fatima,Liloy,"Zamboanga del Norte"
"AFC - Amor's Fried Chicken ",14.621144762446143,121.26210680231452,food,"Smart Fuel",Pinugay,Baras,Rizal
"S&A Homemade Pizza And Sisig",14.72108603421897,121.13229861482978,food,"Ynares hospital pababa",Burgos,Rodriguez,Rizal
"Raz Cafe",7.569107198802599,124.98667649202343,food,"Beside RD Pawnshop","West Kibawe (Pob.)",Kibawe,Bukidnon
